product_id,product_name,spec_id,model_name,suggested_qty,planC_reason,bucket,shopee_image,old_url,old_offer_id,old_sku_id,cdp_health,candidate_status,candidate_offer_url,candidate_offer_id,candidate_sku_name,candidate_sku_id,candidate_spec,confidence,why_selected,why_not_others,no_candidate_reason,search_query,checked_at,method
25252473631,隔日到貨🔥 格紋小方包 化妝包 B20 收納包 便攜 洗漱包 包包 日韓 少女 小包,204787948796,藍格子,51,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r991-los5q3fbqe4840_tn,,,,,no_candidate,,,,,,,,,格紋小方包藍格子：全站搜尋被 captcha 擋；golden 也沒有格子化妝包活頁。開到的小方包是素色皮／徽章包，不是藍綠黃格子。,格纹小方包 化妆包 格子／蓝格子,2026-09-08T17:10:00Z,cdp/browser
25252473631,隔日到貨🔥 格紋小方包 化妝包 B20 收納包 便攜 洗漱包 包包 日韓 少女 小包,204787948798,綠格子,20,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r98t-los5q3jhkauw85_tn,,,,,no_candidate,,,,,,,,,同上，沒找到綠格子化妝小方包。,格纹小方包 化妆包 绿格子,2026-09-08T17:10:00Z,cdp/browser
25252473631,隔日到貨🔥 格紋小方包 化妝包 B20 收納包 便攜 洗漱包 包包 日韓 少女 小包,204787948797,黃格子,19,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r98u-los5q3err7co68_tn,,,,,no_candidate,,,,,,,,,同上，沒找到黃格子化妝小方包。,格纹小方包 化妆包 黄格子,2026-09-08T17:10:00Z,cdp/browser
25083447472,隔日到貨🔥 ins韓風 手機殼吊飾 Airpods殼吊飾 手機殼掛飾 手機掛件 掛飾 手機吊飾 手機掛繩 掛繩,226541342229,黃色花朵,14,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r991-lxno9eo611d2bc_tn,,,,,no_candidate,,,,,,,,,黃色花朵吊飾：冷石同店活頁是兔子／星星／雲朵／鬱金香，沒有「黃色花朵」。布叮「黄色花朵」是充電線套不是吊飾。,手机壳挂件 黄色花朵,2026-09-08T17:10:00Z,cdp/browser
23244459752,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納包 簡約文青,167688526091,彩虹梨包,12,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7qul5-lhliqlw5x2ts80_tn,,,,,no_candidate,,,,,,,,,帆布袋「彩虹梨包」：活頁是小熊迷你包或素色手提，沒有彩虹梨印花。,帆布袋 单肩 彩虹梨,2026-09-08T17:10:00Z,cdp/browser
23244459752,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納包 簡約文青,167688526088,Oft.Paris,11,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7quky-lhlii7gghxam4c_tn,,,,,no_candidate,,,,,,,,,Oft.Paris 印花帆布袋：同商品活頁沒這款字樣／圖案。,帆布袋 单肩 Oft.Paris,2026-09-08T17:10:00Z,cdp/browser
24032554030,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套 充電套,118388600937,套裝 - 聖誕帽棕熊,11,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r98x-lulvspws0gza0e_tn,,,,,no_candidate,,,,,,,,,聖誕帽棕熊充電套裝：布叮有「棕熊」咬線器、肥猪有「圣诞老人」四件套，都對不上聖誕帽棕熊套裝。,充电器保护套 20W 圣诞帽 棕熊,2026-09-08T17:10:00Z,cdp/browser
8636176778,隔日到貨🔥 韓版 圓領 V領 短袖 上衣 短T 短袖 素T 寬鬆 t桖 棉質 t-shirt 衣服 夏天 素色,55086316865,【圓領】深咖啡色,10,no_url,no_url,https://cf.shopee.tw/file/f8942e0789db001e129730773dc0cb2d_tn,,,,,no_candidate,,,,,,,,,素 T 圓領深咖啡：這個商品全部沒 URL，也沒兄弟活頁可開。搜尋被 captcha 擋。,圆领短袖t恤 深咖啡,2026-09-08T17:10:00Z,cdp/browser
23244459752,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納包 簡約文青,167688526100,胖嘟嘟女孩,6,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7quky-lhlir5wgllsg51_tn,,,,,no_candidate,,,,,,,,,胖嘟嘟女孩印花：活頁沒這款。布叮「小女孩」是咬線器不是帆布袋。,帆布袋 单肩 胖嘟嘟女孩,2026-09-08T17:10:00Z,cdp/browser
8636176778,隔日到貨🔥 韓版 圓領 V領 短袖 上衣 短T 短袖 素T 寬鬆 t桖 棉質 t-shirt 衣服 夏天 素色,55086316863,【V領】橘粉色,3,no_url,no_url,https://cf.shopee.tw/file/c613424acf0369bdcac4d3bd4012cb98_tn,,,,,no_candidate,,,,,,,,,V 領橘粉素 T：同上，沒來源。,V领短袖t恤 橘粉,2026-09-08T17:10:00Z,cdp/browser
15007585064,隔日到貨🔥 iPhone 手機殼 14 13 12 11 pro Max XS XR SE 8plus 保護殼 軟殼,155797750054,"奶咖色,14 pro",3,no_url,no_url,https://cf.shopee.tw/file/feb0dbe17bb92130feae2d6acf38ad01_tn,,,,,no_candidate,,,,,,,,,奶咖色 14pro 殼：塔下編織奶杏色是編織紋不是素奶咖；沒開到奶咖素殼。,iPhone 手机壳 奶咖 14pro,2026-09-08T17:10:00Z,cdp/browser
23381311738,隔日到貨🔥 iPhone 手機殼 15 14 pro 13 12 11 XS XR SE X 保護殼 軟殼 蘋果,184609541262,"貼貼奶狗(無吊飾),11 pro",3,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r98x-lm4fbz8yzwkbdc_tn,,,,,with_candidate,https://detail.1688.com/offer/703512173999.html,703512173999,菲林 奶油腊肠狗,4965506528350,菲林 奶油腊肠狗>11pro 5.8,中,無 URL。塔下菲林軟殼活頁有「奶油腊肠狗」+ 11pro，臘腸狗很像貼貼奶狗，機型對。,不是原圖確認的同一檔；紫底腊肠狗顏色不同所以不推。需對蝦皮圖。,,塔下活頁 703512173999 菲林殼對「奶狗／臘腸狗」+11pro,2026-09-08T17:10:00Z,cdp/browser
29805236318,隔日到貨🔥 ins韓風 手機殼吊飾 Airpods殼吊飾 手機殼掛飾 手機掛件 掛飾 手機吊飾 手機掛繩 掛繩,251190179418,荷包蛋,3,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r98w-lxnp3zlgx35cd8_tn,,,,,no_candidate,,,,,,,,,荷包蛋吊飾：冷石活頁是餅乾／雲朵／兔子，沒有荷包蛋。,手机壳挂件 荷包蛋,2026-09-08T17:10:00Z,cdp/browser
8472195827,隔日到貨🔥 iPhone 手機殼 15 14 13 12 11 XS XR SE3 X 保護殼 軟殼 蘋果,85140983969,13,3,no_url,no_url,https://deo.shopeemobile.com/shopee/shopee-seller-live-sg/mmf_portal_seller_root_dir/static/modules/product-list/image/default-item-model-image.2601159.png,,,,,no_candidate,,,,,,,,,型號只寫「13」、沒圖案關鍵字，蝦皮還是預設圖，無法對款。,iPhone 手机壳 13（型號過糊）,2026-09-08T17:10:00Z,cdp/browser
18665190754,隔日到貨🔥 iPhone 手機殼 15 14 13 12 11 pro XS XR SE X 8 保護殼 軟殼 蘋果,127181212647,"透明殼 油漆白花,7 / 8 / SE2 / SE3",1,no_url,no_url,https://cf.shopee.tw/file/sg-11134201-22110-l18zpm65xckv0d_tn,,,,,no_candidate,,,,,,,,,透明殼油漆白花：沒 URL、塔下活頁沒這花色。,iPhone 手机壳 油漆白花,2026-09-08T17:10:00Z,cdp/browser
18665190754,隔日到貨🔥 iPhone 手機殼 15 14 13 12 11 pro XS XR SE X 8 保護殼 軟殼 蘋果,127181212656,"透明殼 油漆白花,12 pro",1,no_url,no_url,https://cf.shopee.tw/file/sg-11134201-22110-l18zpm65xckv0d_tn,,,,,no_candidate,,,,,,,,,同上（12 pro）。,iPhone 手机壳 油漆白花 12pro,2026-09-08T17:10:00Z,cdp/browser
20186370950,隔日到貨🔥 iPhone 手機殼 16 15 14 pro 13 12 11 XS XR SE X 保護殼 軟殼 蘋果,147112962757,"蜜桃暈染+粉標手繩,13 Pro Max",1,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r992-lo7z8pluxvlu7e_tn,,,,,no_candidate,,,,,,,,,蜜桃暈染+粉標手繩：沒 URL、活頁沒這款（手繩+暈染殼）。,iPhone 手机壳 蜜桃晕染 粉标手绳,2026-09-08T17:10:00Z,cdp/browser
23244459752,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納包 簡約文青,167688526081,零星格,1,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7qul4-lhlircjmx0i64e_tn,,,,,no_candidate,,,,,,,,,零星格印花：活頁沒這款。,帆布袋 单肩 零星格,2026-09-08T17:10:00Z,cdp/browser
29805236318,隔日到貨🔥 ins韓風 手機殼吊飾 Airpods殼吊飾 手機殼掛飾 手機掛件 掛飾 手機吊飾 手機掛繩 掛繩,251190179423,領結,1,no_url,no_url,https://cf.shopee.tw/file/tw-11134207-7r98u-lxnp66ot7r5c10_tn,,,,,no_candidate,,,,,,,,,領結吊飾：冷石有「领结兔」是兔子不是單純領結。,手机壳挂件 领结,2026-09-08T17:10:00Z,cdp/browser
9211504495,隔日到貨🔥 iPhone 手機殼 14 pro 13 12 11 XR 防摔殼 空壓殼 四角獸 保護殼 防撞 蘋果,122001464493,"TPU 防摔殼 - 透明殼,13",1,no_url,no_url,https://cf.shopee.tw/file/b7fa5b79b5e8d411cd087bcf6359513f_tn,,,,,no_candidate,,,,,,,,,四角 TPU 透明防摔殼：沒 URL；這次開的都是彩繪軟殼，不是空壓四角獸。,iPhone 四角防摔壳 透明 13,2026-09-08T17:10:00Z,cdp/browser
24052473753,隔日到貨🔥 口紅化妝包 化妝包 收納包 B20 便攜 洗漱包 小包 包包 日韓 少女,214787944849,少女口紅化妝包,88,dead,mapping_suspect,https://cf.shopee.tw/file/tw-11134207-7r98r-los5n8nm4gvw8b_tn,https://detail.1688.com/offer/734419757382.html,734419757382,,dead,no_candidate,,,,,,,,,口紅化妝包原頁已下架。店名滕尧，店舖首頁／商品列表沒抓到同款口紅收納包（列表頁幾乎空白）。,口红化妆包 少女,2026-09-08T17:10:00Z,cdp/browser
26902988030,隔日到貨🔥 韓國 ins風 毛絨卡套 證件夾 證件套 識別證 證件 掛繩 卡片夾 名牌夾 名牌套 卡套 悠遊卡卡,168260538655,開心兔,10,dead,mapping_suspect,https://cf.shopee.tw/file/tw-11134207-7r990-lwkwdh940kz4ed_tn,https://detail.1688.com/offer/731077655765.html,731077655765,,dead,no_candidate,,,,,,,,,開心兔毛絨卡套 404。沒有同商品活頁，也沒開到開心兔卡套。,毛绒卡套 开心兔,2026-09-08T17:10:00Z,cdp/browser
12464289714,隔日到貨🔥 Apple Pencil 1代/2代 薄款 矽膠筆套 ipad筆套 筆尖套 撞色套組 適用 筆尖套,141225386624,"薰衣紫,2代",8,dead,mapping_suspect,https://cf.shopee.tw/file/1de6d30a2007bcbe210e7486c62df53a_tn,https://detail.1688.com/offer/621170303718.html,621170303718,,dead,no_candidate,,,,,,,,,Apple Pencil 筆套原 404。只開到筆尖套（薰衣草灰），不是 2 代筆身矽膠套薰衣紫。,Apple Pencil 笔套 硅胶 薰衣紫 2代,2026-09-08T17:10:00Z,cdp/browser
