url,offer_id,final_url,final_offer_id,health,title,notes,method,checked_at,suggested_qty,product_name
https://detail.1688.com/offer/734419757382.html,734419757382,https://detail.1688.com/offer/734419757382.html,734419757382,off_shelf,韩版简约方形小号化妆包学生小众耳机零钱包少女便携口红收纳包,clearly 下架; 下架 banner / no sku-price picker; body:商品已下架 查看该店铺其他上架商品 查看其他商品,cdp/browser,2026-09-09T01:55:01Z,90.0,隔日到貨🔥 口紅化妝包 化妝包 收納包 B20 便攜 洗漱包 小包 包包 日韓 少女
https://detail.1688.com/offer/644276542345.html,644276542345,https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,,dead,1688 homepage (notfound redirect),redirected to www.1688.com homepage with notfound/spm (offer gone; homepage feed is not this offer); final_url=https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,cdp/browser,2026-09-09T01:55:21Z,60.0,隔日到貨🔥 杯套 杯袋 飲料提袋 飲料袋 環保袋 手搖飲料袋 飲料袋 提袋 方便 便攜 棉麻 飲料杯
https://detail.1688.com/offer/675106205147.html,675106205147,https://detail.1688.com/offer/675106205147.html,675106205147,alive,suxinaimin袜子女夏季款糖果色卷边中筒棉袜ins潮日系可爱堆堆袜,product detail loaded; context+price+sku; title from document.title,cdp/browser,2026-09-09T01:55:36Z,20.0,隔日到貨🔥 ins 韓風 糖果色捲邊襪 S32 襪子 女襪 中筒襪 潮襪 棉襪 薄款 熱銷 純色 百
https://detail.1688.com/offer/896158447887.html,896158447887,https://detail.1688.com/offer/896158447887.html,896158447887,alive,包包女2021新款ins迷你帆布包女学生韩版可爱精致小手提包手拎包,product detail loaded; context+price+sku; no Page.loadEventFired; title from document.title,cdp/browser,2026-09-09T01:55:47Z,20.0,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納
https://detail.1688.com/offer/578246788500.html,578246788500,https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,,dead,1688 homepage (notfound redirect),redirected to www.1688.com homepage with notfound/spm (offer gone; homepage feed is not this offer); final_url=https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,cdp/browser,2026-09-09T01:56:38Z,10.0,隔日到貨🔥 韓版 ins 🍒 慵懶帆布包 斜背包 B22 學院風 側背包 肩背包 帆布 郵差包 原宿
https://detail.1688.com/offer/616560873695.html,616560873695,https://detail.1688.com/offer/616560873695.html,616560873695,alive,气囊支架 创意卡通滴胶360度旋转伸缩懒人支架挂钩 礼品LOGO批发,product detail loaded; context+price+sku; title from document.title,cdp/browser,2026-09-09T01:56:52Z,10.0,隔日到貨🔥 ins風 手機氣囊 多功能指環扣 伸縮折疊 立體氣囊 手機架 適合各手機 氣囊 黏貼式
https://detail.1688.com/offer/621170303718.html,621170303718,https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,,dead,1688 homepage (notfound redirect),redirected to www.1688.com homepage with notfound/spm (offer gone; homepage feed is not this offer); final_url=https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,cdp/browser,2026-09-09T01:57:06Z,10.0,隔日到貨🔥 Apple Pencil 1代/2代 薄款 矽膠筆套 ipad筆套 筆尖套 撞色套組 適
https://detail.1688.com/offer/662375994319.html,662375994319,https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,,dead,1688 homepage (notfound redirect),redirected to www.1688.com homepage with notfound/spm (offer gone; homepage feed is not this offer); final_url=https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,cdp/browser,2026-09-09T01:57:21Z,10.0,隔日到貨🔥 20w 保護套 充電頭保護套 快充專用 保護套 iPhone 蘋果充電頭專用 充電器周邊
https://detail.1688.com/offer/674019917510.html,674019917510,https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,,dead,1688 homepage (notfound redirect),redirected to www.1688.com homepage with notfound/spm (offer gone; homepage feed is not this offer); final_url=https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,cdp/browser,2026-09-09T01:57:36Z,10.0,隔日到貨🔥 矽膠手環 手機殼手環 適用所有手機殼 手機殼吊飾 手環扣 手腕帶 手機掛件 掛飾 鍊條
https://detail.1688.com/offer/674778394852.html,674778394852,https://detail.1688.com/offer/674778394852.html,674778394852,alive,日系莫兰迪简约纯色内裤女士中腰透气纯棉裆包臀薄款学生三角裤,product detail loaded; context+price+sku; title from document.title,cdp/browser,2026-09-09T01:57:51Z,10.0,隔日到貨🔥 韓系內褲 女生內褲 純棉內褲 女生無痕內褲 粉嫩純色 舒適內褲 內褲 緊身 女內褲 無痕
https://detail.1688.com/offer/702421478513.html,702421478513,https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,,dead,1688 homepage (notfound redirect),redirected to www.1688.com homepage with notfound/spm (offer gone; homepage feed is not this offer); final_url=https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,cdp/browser,2026-09-09T01:58:06Z,10.0,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套
https://detail.1688.com/offer/715793566068.html,715793566068,https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,,dead,1688 homepage (notfound redirect),redirected to www.1688.com homepage with notfound/spm (offer gone; homepage feed is not this offer); final_url=https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,cdp/browser,2026-09-09T01:58:20Z,10.0,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套
https://detail.1688.com/offer/731077655765.html,731077655765,https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,,dead,1688 homepage (notfound redirect),redirected to www.1688.com homepage with notfound/spm (offer gone; homepage feed is not this offer); final_url=https://www.1688.com/?spm=a260k.24848612.notfound&theme=index,cdp/browser,2026-09-09T01:58:34Z,10.0,隔日到貨🔥 韓國 ins風 毛絨卡套 證件夾 證件套 識別證 證件 掛繩 卡片夾 名牌夾 名牌套 卡
https://detail.1688.com/offer/742408973734.html,742408973734,https://detail.1688.com/offer/742408973734.html,742408973734,alive,2025新款韩版卡通帆布包少女心卡通可爱水杯套斜跨保温杯帆布袋,product detail loaded; context+price+sku; title from document.title,cdp/browser,2026-09-09T01:58:49Z,10.0,隔日到貨🔥 帆布袋 手桶包 杯套 B3 小包 手提袋 飲料袋 斜背包 手搖飲料袋 提袋 方便 便攜
