source_queue,product_id,product_name,spec_id,model_name,suggested_qty,bucket,shopee_image,old_url,old_offer_id,old_sku_id,old_health,candidate_status,candidate_offer_url,candidate_offer_id,candidate_sku_name,candidate_sku_id,candidate_spec,confidence,reason,method,alt_offer_id,search_query,checked_at,planC_note
P1_no_url,25592099386,隔日到貨🔥 日系字母素色內褲 女生無痕內褲 舒適內褲 冰絲 內褲 冰絲涼感 緊身 運動 女內褲 無痕內褲 暑假,188265663719,"灰色,XL",70,no_url,https://cf.shopee.tw/file/tw-11134207-7rbkd-m6v3zrcm5q9rf5_tn,,,,,no_candidate,,,,,,,resume 全站搜「日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内」有結果但 SKU／款名對不上,site_search,,日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内,2026-09-09T03:52:57Z,
P1_no_url,22561129943,隔日到貨🔥 iPhone 17 16 15 充電線 USB3.1 Type-C 支援carplay 快充線 傳輸線 安卓,255033522183,USB to C 200公分,50,no_url,https://cf.shopee.tw/file/tw-11134207-7r990-lr7hnoj42ww828_tn,,,,,with_candidate,https://detail.1688.com/offer/1079521848519.html,1079521848519,【Type-C 国标铜2A】0.2m,6132936600792,【Type-C 国标铜2A】0.2m&gt;黑色,低,resume全站搜「type-c 数据线 usb」：長度對上,site_search,,type-c 数据线 usb,2026-09-09T03:51:26Z,
P1_no_url,19651077286,隔日到貨🔥 iPhone 17 16 15 充電線 Type-C 充電傳輸線 快充線 android 蘋果ipad 安卓,107515001454,"Type-C to C,200公分",50,no_url,https://cf.shopee.tw/file/tw-11134207-81zth-memnxtdrq7lvf4_tn,,,,,no_candidate,,,,,,,resume 全站搜「type-c 充电线」有結果但 SKU／款名對不上,site_search,,type-c 充电线,2026-09-09T03:50:18Z,
P1_no_url,25252473631,隔日到貨🔥 格紋小方包 化妝包 B20 收納包 便攜 洗漱包 包包 日韓 少女 小包,204787948796,藍格子,50,no_url,https://cf.shopee.tw/file/tw-11134207-7r991-los5q3fbqe4840_tn,,,,,no_candidate,,,,,,,格紋小方包藍格子：全站搜尋被 captcha 擋；golden 也沒有格子化妝包活頁。開到的小方包是素色皮／徽章包，不是藍綠黃格子。,planC_reuse,,格纹小方包 化妆包 格子／蓝格子,2026-09-09T02:51:57Z,planC_no_candidate
P1_no_url,25592099386,隔日到貨🔥 日系字母素色內褲 女生無痕內褲 舒適內褲 冰絲 內褲 冰絲涼感 緊身 運動 女內褲 無痕內褲 暑假,188265663724,"條紋,L",50,no_url,https://cf.shopee.tw/file/tw-11134207-7rbk1-m6v3ztqco9j30a_tn,,,,,no_candidate,,,,,,,resume 全站搜「日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内」有結果但 SKU／款名對不上,site_search,,日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内,2026-09-09T03:52:57Z,
P1_no_url,25592099386,隔日到貨🔥 日系字母素色內褲 女生無痕內褲 舒適內褲 冰絲 內褲 冰絲涼感 緊身 運動 女內褲 無痕內褲 暑假,188265663713,"黑色,XL",50,no_url,https://cf.shopee.tw/file/tw-11134207-7rbk6-m6v3zf99w7hg00_tn,,,,,no_candidate,,,,,,,resume 全站搜「日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内」有結果但 SKU／款名對不上,site_search,,日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内,2026-09-09T03:52:57Z,
P1_no_url,22561129943,隔日到貨🔥 iPhone 17 16 15 充電線 USB3.1 Type-C 支援carplay 快充線 傳輸線 安卓,185418702042,Type-C to C 100公分,40,no_url,https://cf.shopee.tw/file/tw-11134207-7rasa-m0lg0i0kip5ff8_tn,,,,,with_candidate,https://detail.1688.com/offer/1079521848519.html,1079521848519,typeC铜包钢 1米,6132936600782,typeC铜包钢 1米&gt;黑色,低,resume全站搜「type-c 数据线 usb」：長度對上,site_search,,type-c 数据线 usb,2026-09-09T03:51:26Z,
P1_no_url,18344672033,隔日到貨🔥 iPhone 充電線 14 13 12 11 Lightning 蘋果充電線 Type-C 充電線 快充線,182258650416,"Type-A to Lightning,50公分",40,no_url,https://cf.shopee.tw/file/tw-11134207-7r98s-lmebua1p0qe1c4_tn,,,,,blocked_captcha,,,,,,,blocked_captcha 卡在 https://s.1688.com//selloffer/offer_search.htm/_____tmd_____/punish?x5secdata=xfC7TB66An8jlPhVB5lrVHzO5xNYUIFv7k__P49OuOV3FkEsSBaa0O8n39oH6aULS_hIambjqi1mAYx9nOjPNTdZ1PFKRaDmXZXlZ33ec41FWJIduzDKdiV4k9pkDtFbcwsFSTZ5XmG1z5IiWork0ehHZvfME9iY0FD26jg2Q3AGtmjye0zeP1umUuHfbXa_eiQ_zPnRkRyfNi6RRV0K0bMxwsphiTEXgKGjZqVvptD4iKJvXuqXvJyOIhs0Ia9zU7zBezCeXui5FqL2LXVGa8se3JEAmGZ5bNWFaTfW9oeU_61d3Pn3YPjeXKvJePKsPvd5kxpyFLafne3b7-2nLPHrmxkQ1iRmAfXA2D8NOmWEnEjHbjbWZWEPYlajqetk5LarvD7qCpYeryCD5ZScMkFaXfW5LyMtvbBZjE81KcVaS5in8bcwunIt_nwbcDWN6fv-IC9QbBx6aDm2NzO3jeC9BPpGZ57_QEyOgzbviV-9Uf_2J3dq0VoNfhjq5YMJNj1Nt2pivRs-mNOw7Hwx-5ELcDFshNMcEa7LJuSWNP5ZK_BXvmQsT2EypYxVuY8uaqCne-6XEhcdNTyhxgL0ARFGx7zp_gHeks2Wa9CfKRcMf1xpBmMQCLUcZxW9RxggbZBjPVhpWN_-T9JBw-_XtgFZFsluf0ggrmD84nIctcJAJgo49qRSeugrq9YRn10jIT1loMP9Q5jmnHj2Beul13Oev16yzeB36oig0cfqAM29zhuGT82LnHrdB5xdGuraU3wgF-3Go4qkQKkh43Wu3urAOcEZxTG7gl0P0M7WAMDhdEZD0qakLJ_m3yk-rK70Qvl4ZRtNotslfUlQdV41v4yOUnXJpvI4dfqKLAk5MnIeUhqxzp_N65KTZQw02NODemOaxqMtXEE3jk3NicGTfEBg__bx__s.1688.com%2fselloffer%2foffer_search.htm&x5step=1 關鍵字「」,site_search,,,2026-09-09T04:04:45Z,
P1_no_url,18344672033,隔日到貨🔥 iPhone 充電線 14 13 12 11 Lightning 蘋果充電線 Type-C 充電線 快充線,182258650418,"Type-A to Lightning,200公分",40,no_url,https://cf.shopee.tw/file/tw-11134207-7r98s-lmebua1p0qe1c4_tn,,,,,blocked_captcha,,,,,,,blocked_captcha 卡在 https://s.1688.com//selloffer/offer_search.htm/_____tmd_____/punish?x5secdata=xfC7TB66An8jlPhVB5lrVHzO5xNYUIFv7k__P49OuOV3FkEsSBaa0O8n39oH6aULS_hIambjqi1mAYx9nOjPNTdZ1PFKRaDmXZXlZ33ec41FWJIduzDKdiV4k9pkDtFbcwsFSTZ5XmG1z5IiWork0ehHZvfME9iY0FD26jg2Q3AGtmjye0zeP1umUuHfbXa_eiQ_zPnRkRyfNi6RRV0K0bMxwsphiTEXgKGjZqVvptD4iKJvXuqXvJyOIhs0Ia9zU7zBezCeXui5FqL2LXVGa8se3JEAmGZ5bNWFaTfW9oeU_61d3Pn3YPjeXKvJePKsPvd5kxpyFLafne3b7-2nLPHrmxkQ1iRmAfXA2D8NOmWEnEjHbjbWZWEPYlajqetk5LarvD7qCpYeryCD5ZScMkFaXfW5LyMtvbBZjE81KcVaS5in8bcwunIt_nwbcDWN6fv-IC9QbBx6aDm2NzO3jeC9BPpGZ57_QEyOgzbviV-9Uf_2J3dq0VoNfhjq5YMJNj1Nt2pivRs-mNOw7Hwx-5ELcDFshNMcEa7LJuSWNP5ZK_BXvmQsT2EypYxVuY8uaqCne-6XEhcdNTyhxgL0ARFGx7zp_gHeks2Wa9CfKRcMf1xpBmMQCLUcZxW9RxggbZBjPVhpWN_-T9JBw-_XtgFZFsluf0ggrmD84nIctcJAJgo49qRSeugrq9YRn10jIT1loMP9Q5jmnHj2Beul13Oev16yzeB36oig0cfqAM29zhuGT82LnHrdB5xdGuraU3wgF-3Go4qkQKkh43Wu3urAOcEZxTG7gl0P0M7WAMDhdEZD0qakLJ_m3yk-rK70Qvl4ZRtNotslfUlQdV41v4yOUnXJpvI4dfqKLAk5MnIeUhqxzp_N65KTZQw02NODemOaxqMtXEE3jk3NicGTfEBg__bx__s.1688.com%2fselloffer%2foffer_search.htm&x5step=1 關鍵字「」,site_search,,,2026-09-09T04:04:45Z,
P1_no_url,24077547688,隔日到貨🔥 冰絲無痕波浪安全褲 睡褲 平口褲 打底褲 寬鬆防走光不捲邊 內搭褲 短褲 內褲 夏日冰感舒適,137909849519,白色,40,no_url,https://deo.shopeemobile.com/shopee/shopee-seller-live-sg/mmf_portal_seller_root_dir/static/modules/product-list/image/default-item-model-image.2601159.png,,,,,blocked_captcha,,,,,,,blocked_captcha 卡在 https://s.1688.com//selloffer/offer_search.htm/_____tmd_____/punish?x5secdata=xfC7TB66An8jlPhVB5lrVHzO5xNYUIFv7k__P49OuOV3FkEsSBaa0O8n39oH6aULS_hIambjqi1mAYx9nOjPNTdZ1PFKRaDmXZXlZ33ec41FWJIduzDKdiV4k9pkDtFbcwsFSTZ5XmG1z5IiWork0ehHZvfME9iY0FD26jg2Q3AGtmjye0zeP1umUuHfbXa_eiQ_zPnRkRyfNi6RRV0K0bMxwsphiTEXgKGjZqVvptD4iKJvXuqXvJyOIhs0Ia9zU7zBezCeXui5FqL2LXVGa8se3JEAmGZ5bNWFaTfW9oeU_61d3Pn3YPjeXKvJePKsPvd5kxpyFLafne3b7-2nLPHrmxkQ1iRmAfXA2D8NOmWEnEjHbjbWZWEPYlajqetk5LarvD7qCpYeryCD5ZScMkFaXfW5LyMtvbBZjE81KcVaS5in8bcwunIt_nwbcDWN6fv-IC9QbBx6aDm2NzO3jeC9BPpGZ57_QEyOgzbviV-9Uf_2J3dq0VoNfhjq5YMJNj1Nt2pivRs-mNOw7Hwx-5ELcDFshNMcEa7LJuSWNP5ZK_BXvmQsT2EypYxVuY8uaqCne-6XEhcdNTyhxgL0ARFGx7zp_gHeks2Wa9CfKRcMf1xpBmMQCLUcZxW9RxggbZBjPVhpWN_-T9JBw-_XtgFZFsluf0ggrmD84nIctcJAJgo49qRSeugrq9YRn10jIT1loMP9Q5jmnHj2Beul13Oev16yzeB36oig0cfqAM29zhuGT82LnHrdB5xdGuraU3wgF-3Go4qkQKkh43Wu3urAOcEZxTG7gl0P0M7WAMDhdEZD0qakLJ_m3yk-rK70Qvl4ZRtNotslfUlQdV41v4yOUnXJpvI4dfqKLAk5MnIeUhqxzp_N65KTZQw02NODemOaxqMtXEE3jk3NicGTfEBg__bx__s.1688.com%2fselloffer%2foffer_search.htm&x5step=1 關鍵字「」,site_search,,,2026-09-09T04:04:45Z,
P1_no_url,25592099386,隔日到貨🔥 日系字母素色內褲 女生無痕內褲 舒適內褲 冰絲 內褲 冰絲涼感 緊身 運動 女內褲 無痕內褲 暑假,188265663714,"白色,M",40,no_url,https://cf.shopee.tw/file/tw-11134207-7rbk9-m6v3zq65vuuc92_tn,,,,,no_candidate,,,,,,,resume 全站搜「日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内」有結果但 SKU／款名對不上,site_search,,日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内,2026-09-09T03:52:57Z,
P1_no_url,9969182845,隔日到貨🔥 iPhone 保護貼 17 16 15 14 13 12 11 螢幕貼 滿版玻璃 螢幕保護 防窺膜 鋼化膜,66383349343,"12 pro max,鋼化膜",40,no_url,https://deo.shopeemobile.com/shopee/shopee-seller-live-sg/mmf_portal_seller_root_dir/static/modules/product-list/image/default-item-model-image.2601159.png,,,,,blocked_captcha,,,,,,,blocked_captcha 卡在 https://s.1688.com//selloffer/offer_search.htm/_____tmd_____/punish?x5secdata=xfC7TB66An8jlPhVB5lrVHzO5xNYUIFv7k__P49OuOV3FkEsSBaa0O8n39oH6aULS_hIambjqi1mAYx9nOjPNTdZ1PFKRaDmXZXlZ33ec41FWJIduzDKdiV4k9pkDtFbcwsFSTZ5XmG1z5IiWork0ehHZvfME9iY0FD26jg2Q3AGtmjye0zeP1umUuHfbXa_eiQ_zPnRkRyfNi6RRV0K0bMxwsphiTEXgKGjZqVvptD4iKJvXuqXvJyOIhs0Ia9zU7zBezCeXui5FqL2LXVGa8se3JEAmGZ5bNWFaTfW9oeU_61d3Pn3YPjeXKvJePKsPvd5kxpyFLafne3b7-2nLPHrmxkQ1iRmAfXA2D8NOmWEnEjHbjbWZWEPYlajqetk5LarvD7qCpYeryCD5ZScMkFaXfW5LyMtvbBZjE81KcVaS5in8bcwunIt_nwbcDWN6fv-IC9QbBx6aDm2NzO3jeC9BPpGZ57_QEyOgzbviV-9Uf_2J3dq0VoNfhjq5YMJNj1Nt2pivRs-mNOw7Hwx-5ELcDFshNMcEa7LJuSWNP5ZK_BXvmQsT2EypYxVuY8uaqCne-6XEhcdNTyhxgL0ARFGx7zp_gHeks2Wa9CfKRcMf1xpBmMQCLUcZxW9RxggbZBjPVhpWN_-T9JBw-_XtgFZFsluf0ggrmD84nIctcJAJgo49qRSeugrq9YRn10jIT1loMP9Q5jmnHj2Beul13Oev16yzeB36oig0cfqAM29zhuGT82LnHrdB5xdGuraU3wgF-3Go4qkQKkh43Wu3urAOcEZxTG7gl0P0M7WAMDhdEZD0qakLJ_m3yk-rK70Qvl4ZRtNotslfUlQdV41v4yOUnXJpvI4dfqKLAk5MnIeUhqxzp_N65KTZQw02NODemOaxqMtXEE3jk3NicGTfEBg__bx__s.1688.com%2fselloffer%2foffer_search.htm&x5step=1 關鍵字「iphone 钢化膜 防窥膜」,site_search,,iphone 钢化膜 防窥膜,2026-09-09T04:04:45Z,
P1_no_url,25592099386,隔日到貨🔥 日系字母素色內褲 女生無痕內褲 舒適內褲 冰絲 內褲 冰絲涼感 緊身 運動 女內褲 無痕內褲 暑假,188265663717,"灰色,M",30,no_url,https://cf.shopee.tw/file/tw-11134207-7rbkd-m6v3zrcm5q9rf5_tn,,,,,no_candidate,,,,,,,resume 全站搜「日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内」有結果但 SKU／款名對不上,site_search,,日系字母素色内裤女生无痕内裤舒适内裤冰丝内裤冰丝凉感紧身运动女内裤无痕内,2026-09-09T03:52:57Z,
P1_no_url,25811193291,隔日到貨🔥 Type-C To Lightning母 蘋果充電線轉接器 可充電 可傳輸 寶利威爾 POLYWELL,250283225791,10W,30,no_url,https://cf.shopee.tw/file/tw-11134207-7r98w-lr0jlyh3m9zcb9_tn,,,,,blocked_captcha,,,,,,,blocked_captcha 卡在 https://s.1688.com//selloffer/offer_search.htm/_____tmd_____/punish?x5secdata=xfC7TB66An8jlPhVB5lrVHzO5xNYUIFv7k__P49OuOV3FkEsSBaa0O8n39oH6aULS_hIambjqi1mAYx9nOjPNTdZ1PFKRaDmXZXlZ33ec41FWJIduzDKdiV4k9pkDtFbcwsFSTZ5XmG1z5IiWork0ehHZvfME9iY0FD26jg2Q3AGtmjye0zeP1umUuHfbXa_eiQ_zPnRkRyfNi6RRV0K0bMxwsphiTEXgKGjZqVvptD4iKJvXuqXvJyOIhs0Ia9zU7zBezCeXui5FqL2LXVGa8se3JEAmGZ5bNWFaTfW9oeU_61d3Pn3YPjeXKvJePKsPvd5kxpyFLafne3b7-2nLPHrmxkQ1iRmAfXA2D8NOmWEnEjHbjbWZWEPYlajqetk5LarvD7qCpYeryCD5ZScMkFaXfW5LyMtvbBZjE81KcVaS5in8bcwunIt_nwbcDWN6fv-IC9QbBx6aDm2NzO3jeC9BPpGZ57_QEyOgzbviV-9Uf_2J3dq0VoNfhjq5YMJNj1Nt2pivRs-mNOw7Hwx-5ELcDFshNMcEa7LJuSWNP5ZK_BXvmQsT2EypYxVuY8uaqCne-6XEhcdNTyhxgL0ARFGx7zp_gHeks2Wa9CfKRcMf1xpBmMQCLUcZxW9RxggbZBjPVhpWN_-T9JBw-_XtgFZFsluf0ggrmD84nIctcJAJgo49qRSeugrq9YRn10jIT1loMP9Q5jmnHj2Beul13Oev16yzeB36oig0cfqAM29zhuGT82LnHrdB5xdGuraU3wgF-3Go4qkQKkh43Wu3urAOcEZxTG7gl0P0M7WAMDhdEZD0qakLJ_m3yk-rK70Qvl4ZRtNotslfUlQdV41v4yOUnXJpvI4dfqKLAk5MnIeUhqxzp_N65KTZQw02NODemOaxqMtXEE3jk3NicGTfEBg__bx__s.1688.com%2fselloffer%2foffer_search.htm&x5step=1 關鍵字「」,site_search,,,2026-09-09T04:04:45Z,
